id,class,method,allPerm,dangerousPerm,permTag
1,android.R.attr,requestRawExternalStorageAccess,MANAGE_EXTERNAL_STORAGE;,,"
<ul>
 <li><code dir=""ltr"" translate=""no""><a href=""/reference/android/Manifest.permission#MANAGE_EXTERNAL_STORAGE"">Manifest.permission.MANAGE_EXTERNAL_STORAGE</a></code> permission or
 </li><li><code dir=""ltr"" translate=""no""><a href=""/reference/android/app/role/package-summary"">android.app.role</a></code>#SYSTEM_GALLERY role.
 </li></ul>
<ul>
 <li>app has <code dir=""ltr"" translate=""no""><a href=""/reference/android/Manifest.permission#MANAGE_EXTERNAL_STORAGE"">Manifest.permission.MANAGE_EXTERNAL_STORAGE</a></code> permission and
 targets targetSDK&lt;=30.
 </li><li>app has <code dir=""ltr"" translate=""no""><a href=""/reference/android/app/role/package-summary"">android.app.role</a></code>#SYSTEM_GALLERY role and targetSDK&lt;=29
 </li></ul>"
2,android.R.attr,usesPermissionFlags,ACCESS_FINE_LOCATION;ACCESS_COARSE_LOCATION;,ACCESS_FINE_LOCATION;ACCESS_COARSE_LOCATION;,"
<p>Optional: set of flags that should apply to this permission request. Note that
 these flags start at 0x4 to match PackageInfo.requestedPermissionsFlags.
 </p>
<table>
 <colgroup align=""left"">
 </colgroup><colgroup align=""left"">
 </colgroup><colgroup align=""left"">
 </colgroup><tbody><tr><th>Constant</th><th>Value</th><th>Description</th></tr>
 <tr><td>neverForLocation</td><td>10000</td><td>Strong assertion by a developer that they will never use this
 permission to derive the physical location of the device, even
 when the app has been granted the ACCESS_FINE_LOCATION and/or
 ACCESS_COARSE_LOCATION permissions.</td></tr>
 </tbody></table>"
3,android.accessibilityservice.AccessibilityService,getFingerprintGestureController,USE_FINGERPRINT;,,"
<p>Get the controller for fingerprint gestures. This feature requires <code dir=""ltr"" translate=""no""><a href=""/reference/android/accessibilityservice/AccessibilityServiceInfo#CAPABILITY_CAN_REQUEST_FINGERPRINT_GESTURES"">AccessibilityServiceInfo.CAPABILITY_CAN_REQUEST_FINGERPRINT_GESTURES</a></code>.

<strong>Note: </strong> The service must be connected before this method is called.

 <br/>
 Requires <code dir=""ltr"" translate=""no""><a href=""/reference/android/Manifest.permission#USE_FINGERPRINT"">Manifest.permission.USE_FINGERPRINT</a></code></p>"
4,android.accounts.AccountManager,addOnAccountsUpdatedListener,GET_ACCOUNTS;,GET_ACCOUNTS;,"
<p>Adds an <code dir=""ltr"" translate=""no""><a href=""/reference/android/accounts/OnAccountsUpdateListener"">OnAccountsUpdateListener</a></code> to this instance of the <code dir=""ltr"" translate=""no""><a href=""/reference/android/accounts/AccountManager"">AccountManager</a></code>. This
 listener will be notified whenever user or AbstractAccountAuthenticator made changes to
 accounts of any type related to the caller. This method is equivalent to
 addOnAccountsUpdatedListener(listener, handler, updateImmediately, null)

 <br/>
 Requires <code dir=""ltr"" translate=""no""><a href=""/reference/android/Manifest.permission#GET_ACCOUNTS"">Manifest.permission.GET_ACCOUNTS</a></code></p>"
5,android.accounts.AccountManager,getAccounts,GET_ACCOUNTS;,GET_ACCOUNTS;,"
<p>
 It is safe to call this method from the main thread.

 <br/>
 Requires <code dir=""ltr"" translate=""no""><a href=""/reference/android/Manifest.permission#GET_ACCOUNTS"">Manifest.permission.GET_ACCOUNTS</a></code></p>"
6,android.accounts.AccountManager,getAccountsByType,GET_ACCOUNTS;,GET_ACCOUNTS;,"
<p>
 Caller targeting API level <code dir=""ltr"" translate=""no""><a href=""/reference/android/os/Build.VERSION_CODES#O"">Build.VERSION_CODES.O</a></code> and above, will get list
 of accounts made visible to it by user
 (see <code dir=""ltr"" translate=""no""><a href=""/reference/android/accounts/AccountManager#newChooseAccountIntent(android.accounts.Account,%20java.util.List&lt;android.accounts.Account&gt;,%20java.lang.String[],%20java.lang.String,%20java.lang.String,%20java.lang.String[],%20android.os.Bundle)"">newChooseAccountIntent(android.accounts.Account, java.util.List, java.lang.String[], java.lang.String, java.lang.String, java.lang.String[], android.os.Bundle)</a></code>) or AbstractAccountAuthenticator
 using <code dir=""ltr"" translate=""no""><a href=""/reference/android/accounts/AccountManager#setAccountVisibility(android.accounts.Account,%20java.lang.String,%20int)"">setAccountVisibility(Account, String, int)</a></code>.
 <code dir=""ltr"" translate=""no""><a href=""/reference/android/Manifest.permission#GET_ACCOUNTS"">Manifest.permission.GET_ACCOUNTS</a></code> permission is not used.

 </p>
<p>
 Caller targeting API level below <code dir=""ltr"" translate=""no""><a href=""/reference/android/os/Build.VERSION_CODES#O"">Build.VERSION_CODES.O</a></code> that have not been
 granted the <code dir=""ltr"" translate=""no""><a href=""/reference/android/Manifest.permission#GET_ACCOUNTS"">Manifest.permission.GET_ACCOUNTS</a></code> permission, will only see those
 accounts managed by AbstractAccountAuthenticators whose signature matches the client.

 </p>
<p>
 <b>NOTE:</b> If targeting your app to work on API level
 <code dir=""ltr"" translate=""no""><a href=""/reference/android/os/Build.VERSION_CODES#LOLLIPOP_MR1"">Build.VERSION_CODES.LOLLIPOP_MR1</a></code> and before,
 <code dir=""ltr"" translate=""no""><a href=""/reference/android/Manifest.permission#GET_ACCOUNTS"">Manifest.permission.GET_ACCOUNTS</a></code> permission is
 needed for those platforms, irrespective of uid or signature match. See docs for this
 function in API level <code dir=""ltr"" translate=""no""><a href=""/reference/android/os/Build.VERSION_CODES#LOLLIPOP_MR1"">Build.VERSION_CODES.LOLLIPOP_MR1</a></code>.

 <br/>
 Requires <code dir=""ltr"" translate=""no""><a href=""/reference/android/Manifest.permission#GET_ACCOUNTS"">Manifest.permission.GET_ACCOUNTS</a></code></p>"
7,android.accounts.AccountManager,getAccountsByTypeAndFeatures,GET_ACCOUNTS;,GET_ACCOUNTS;,"
<p>
 Caller targeting API level <code dir=""ltr"" translate=""no""><a href=""/reference/android/os/Build.VERSION_CODES#O"">Build.VERSION_CODES.O</a></code> and above, will get list
 of accounts made visible to it by user
 (see <code dir=""ltr"" translate=""no""><a href=""/reference/android/accounts/AccountManager#newChooseAccountIntent(android.accounts.Account,%20java.util.List&lt;android.accounts.Account&gt;,%20java.lang.String[],%20java.lang.String,%20java.lang.String,%20java.lang.String[],%20android.os.Bundle)"">newChooseAccountIntent(android.accounts.Account, java.util.List, java.lang.String[], java.lang.String, java.lang.String, java.lang.String[], android.os.Bundle)</a></code>) or AbstractAccountAuthenticator
 using <code dir=""ltr"" translate=""no""><a href=""/reference/android/accounts/AccountManager#setAccountVisibility(android.accounts.Account,%20java.lang.String,%20int)"">setAccountVisibility(Account, String, int)</a></code>.
 <code dir=""ltr"" translate=""no""><a href=""/reference/android/Manifest.permission#GET_ACCOUNTS"">Manifest.permission.GET_ACCOUNTS</a></code> permission is not used.

 </p>
<p>
 Caller targeting API level below <code dir=""ltr"" translate=""no""><a href=""/reference/android/os/Build.VERSION_CODES#O"">Build.VERSION_CODES.O</a></code> that have not been
 granted the <code dir=""ltr"" translate=""no""><a href=""/reference/android/Manifest.permission#GET_ACCOUNTS"">Manifest.permission.GET_ACCOUNTS</a></code> permission, will only see those
 accounts managed by AbstractAccountAuthenticators whose signature matches the client.
 </p>
<p>
 <b>NOTE:</b> If targeting your app to work on API level
 <code dir=""ltr"" translate=""no""><a href=""/reference/android/os/Build.VERSION_CODES#LOLLIPOP_MR1"">Build.VERSION_CODES.LOLLIPOP_MR1</a></code> and before,
 <code dir=""ltr"" translate=""no""><a href=""/reference/android/Manifest.permission#GET_ACCOUNTS"">Manifest.permission.GET_ACCOUNTS</a></code> permission is
 needed for those platforms, irrespective of uid or signature match. See docs for this
 function in API level <code dir=""ltr"" translate=""no""><a href=""/reference/android/os/Build.VERSION_CODES#LOLLIPOP_MR1"">Build.VERSION_CODES.LOLLIPOP_MR1</a></code>.</p>"
8,android.accounts.AccountManager,hasFeatures,GET_ACCOUNTS;,GET_ACCOUNTS;,"
<p>
 If caller target API level is below <code dir=""ltr"" translate=""no""><a href=""/reference/android/os/Build.VERSION_CODES#O"">Build.VERSION_CODES.O</a></code>, it is
 required to hold the permission <code dir=""ltr"" translate=""no""><a href=""/reference/android/Manifest.permission#GET_ACCOUNTS"">Manifest.permission.GET_ACCOUNTS</a></code> or have a
 signature match with the AbstractAccountAuthenticator that manages the account.</p>"
9,android.app.ActivityManager,dumpPackageState,DUMP;,,"
<p>Perform a system dump of various state associated with the given application
 package name.  This call blocks while the dump is being performed, so should
 not be done on a UI thread.  The data will be written to the given file
 descriptor as text.
 <br/>
 Requires <code dir=""ltr"" translate=""no""><a href=""/reference/android/Manifest.permission#DUMP"">Manifest.permission.DUMP</a></code></p>"
10,android.app.ActivityManager,getHistoricalProcessExitReasons,DUMP;,,"
<table class=""responsive"">
    <tbody><tr><th colspan=""2"">Parameters</th></tr>
      <tr>
        <td><code dir=""ltr"" translate=""no"">packageName</code></td>
        <td width=""100%"">
          <code dir=""ltr"" translate=""no"">String</code>: Optional, a null value means match all packages belonging to the
                    caller""s UID. If this package belongs to another UID, you must hold
                    <code dir=""ltr"" translate=""no""><a href=""/reference/android/Manifest.permission#DUMP"">Manifest.permission.DUMP</a></code> in order to retrieve it.<p></p></td>
      </tr>
      <tr>
        <td><code dir=""ltr"" translate=""no"">pid</code></td>
        <td width=""100%"">
          <code dir=""ltr"" translate=""no"">int</code>: A process ID that used to belong to this package but died later; a value
                    of 0 means to ignore this parameter and return all matching records.
 Value is 0 or greater<p></p></td>
      </tr>
      <tr>
        <td><code dir=""ltr"" translate=""no"">maxNum</code></td>
        <td width=""100%"">
          <code dir=""ltr"" translate=""no"">int</code>: The maximum number of results to be returned; a value of 0
                    means to ignore this parameter and return all matching records

 Value is 0 or greater<p></p></td>
      </tr>
    </tbody></table>"
