Topic	0

0.1297	独角兽
0.1006	摄影师
0.0466	娃娃机
0.0241	保时捷
0.0233	化妆师
0.02	马戏团
0.0175	扭蛋机
0.0166	推币机
0.0141	装饰品
0.0133	万圣夜
0.0125	巧克力
0.0116	口红机
0.0108	魔术师
0.01	肝胆病
0.0092	魔鬼城
0.0083	游戏厅
0.0075	设计师
0.0075	棉花糖
0.0075	ufo
0.0067	棒棒糖
-----------------------
Topic	1

0.0489	志愿者
0.0282	委员会
0.0223	身份证
0.0188	市政府
0.0168	增值税
0.0156	纳税人
0.0137	管理局
0.0133	人民政府
0.0125	办公室
0.0125	记忆卡
0.0106	国务院
0.0102	公安局
0.0102	aed
0.0098	通行证
0.0098	自然人
0.0098	出入境
0.0098	驾驶证
0.009	一网通办
0.0082	省政府
0.0082	机动车
-----------------------
Topic	2

0.1498	小朋友
0.0394	幼儿园
0.0272	动画片
0.0236	创造力
0.0196	记忆力
0.0151	年龄段
0.0147	专注力
0.0135	趣味性
0.0135	小孩子
0.0129	观察力
0.0125	注意力
0.0093	逻辑思维
0.0081	好奇心
0.0079	轻轻松
0.0075	起跑线
0.0075	知识点
0.0073	亲子游戏
0.0073	恐龙车
0.0071	简笔画
0.0069	快快乐乐
-----------------------
Topic	3

0.0332	番茄钟
0.0323	工作法
0.0304	拖延症
0.029	专注力
0.0281	自习室
0.0267	白噪音
0.0221	todo
0.0217	python
0.0171	倒计时
0.0143	注意力
0.0138	计时器
0.0134	java
0.0115	优先级
0.0115	成就感
0.0097	asmr
0.0092	计划表
0.0092	forest
0.0088	备忘录
0.0083	身心健康
0.0078	可视化
-----------------------
Topic	4

0.1028	出版社
0.0991	指南针
0.0509	经纬度
0.0316	水平仪
0.0252	mba
0.023	传感器
0.022	工具箱
0.0198	知识点
0.0182	量角器
0.015	测距仪
0.0139	手电筒
0.0134	主任医师
0.0129	分贝仪
0.0112	护理学
0.0107	方向感
0.0096	测量仪
0.0096	分贝值
0.0096	体验课
0.0091	ytksbao
0.0086	mem
-----------------------
Topic	5

0.149	投资者
0.0807	交易所
0.0286	自选股
0.0266	证监会
0.0174	人民币
0.0156	贵金属
0.0125	基本面
0.0114	分析师
0.0114	营业部
0.0108	龙虎榜
0.0097	科创板
0.0097	创业板
0.009	理财师
0.0088	委员会
0.0086	收益率
0.0084	银行卡
0.0079	Level
0.0077	衍生品
0.0077	交易日
0.0075	农产品
-----------------------
Topic	6

0.0478	年龄段
0.0372	中英文
0.0219	敏感期
0.0206	出发点
0.0199	出版社
0.0186	小朋友
0.0159	迪士尼
0.0133	图书馆
0.0133	动物园
0.0113	声绘本
0.0106	raz
0.01	bbc
0.01	自然科学
0.01	残疾人
0.01	科学岛
0.0086	幼儿教育
0.0086	汽车城
0.0086	习惯班
0.008	海尼曼
0.0073	博物馆
-----------------------
Topic	7

0.0614	打电话
0.0426	业务员
0.0415	联系人
0.0382	通讯录
0.0348	供应商
0.0304	运营商
0.0177	著作权
0.0171	制造业
0.0127	高新技术
0.0116	防骚扰
0.0111	wifi
0.0105	管理者
0.01	sos
0.0089	接通率
0.0083	各行各业
0.0077	可视化
0.0077	定位器
0.0077	合作方
0.0077	分行业
0.0072	防标记
-----------------------
Topic	8

0.0978	咨询师
0.0655	心理学
0.0398	家常菜
0.0262	训练营
0.0248	家庭教育
0.0126	面对面
0.0126	创始人
0.0108	抑郁症
0.0098	中科院
0.0089	影响力
0.0089	北京大学
0.0089	研究院
0.008	一对一
0.0075	青少年
0.0075	多媒体
0.0075	几十万
0.0075	婴幼儿
0.0075	下午茶
0.0075	焦虑症
0.0075	经济学
-----------------------
Topic	9

0.064	自行车
0.0626	电动车
0.0255	sdk
0.0227	老百姓
0.0213	困难症
0.0151	积分制
0.0138	工作室
0.0138	排行榜
0.0131	吸引力
0.0124	图形化
0.0117	价值观
0.0103	plc
0.0096	仪表盘
0.0089	准确度
0.0089	婚博会
0.0083	新鲜感
0.0076	一如既往
0.0076	真心话
0.0076	犹豫不决
0.0076	添砖加瓦
-----------------------
Topic	10

0.1072	信用卡
0.099	摩托车
0.0408	科目二
0.0383	驾驶员
0.0332	驾驶证
0.0332	机动车
0.0276	通过率
0.022	科目三
0.0179	知识点
0.0163	教练员
0.0163	科目四
0.0153	一点通
0.0128	资格证
0.0107	规题库
0.0097	四题库
0.0087	手续费
0.0087	借记卡
0.0077	收款人
0.0077	存贷款
0.0072	计算器
-----------------------
Topic	11

0.0708	物联网
0.0491	云计算
0.0192	软硬件
0.0176	区块链
0.0164	供应链
0.0157	场景化
0.0151	产业链
0.0148	可视化
0.0126	分布式
0.0094	全流程
0.0091	创新型
0.0085	数据化
0.0085	iot
0.0085	便捷化
0.0085	移动化
0.0082	信息流
0.0079	切入点
0.0076	传感器
0.0076	高新技术
0.0076	子系统
-----------------------
Topic	12

0.1054	万年历
0.069	节假日
0.0505	紫外线
0.05	老黄历
0.0304	二十四
0.0228	纪念日
0.0179	降水量
0.0179	数据源
0.0163	黄道吉日
0.0158	经纬度
0.0158	气象局
0.0136	黄历宜忌
0.0125	历黄历
0.012	黄历万
0.0114	能见度
0.0109	历日历
0.0109	日历万
0.0103	倒计时
0.0098	污染物
0.0098	aqi
-----------------------
Topic	13

0.1218	播放器
0.0383	音频格式
0.03	均衡器
0.03	转换器
0.0282	分数线
0.0198	转音频
0.018	编辑器
0.0148	藏头诗
0.0143	提取器
0.0125	立体声
0.0125	音乐库
0.012	mpg
0.012	宣传片
0.0106	asf
0.0106	mpeg
0.0102	分辨率
0.0102	剪辑器
0.0097	rmvb
0.0092	ogg
0.0088	amr
-----------------------
Topic	14

0.089	电视台
0.058	影响力
0.0229	本地化
0.0206	融媒体
0.0202	生活资讯
0.0199	日报社
0.0138	信息港
0.0131	宣传部
0.0128	新闻网
0.0121	新媒体
0.0104	吃喝玩乐
0.0094	倒计时
0.0091	本土化
0.0088	吉林省
0.0084	主持人
0.0084	知名度
0.0084	传播力
0.0074	人民日报
0.0074	大湾区
0.0074	新鲜事
-----------------------
Topic	15

0.043	创造力
0.0395	挖掘机
0.0377	好奇心
0.0324	小朋友
0.0271	消防员
0.0265	消防车
0.0195	求知欲
