topic	num_app
0	103
1	215
2	390
3	171
4	145
5	299
6	149
7	149
8	194
9	161
10	152
11	289
12	131
13	192
14	348
15	103
16	112
17	86
18	92
19	76
20	294
21	440
22	181
23	190
24	127
25	174
26	189
27	111
28	207
29	253
30	111
31	61
32	139
33	101
34	79
35	241
36	75
37	152
38	137
39	150
40	142
41	199
42	105
43	259
44	118
45	75
46	144
47	164
48	163
49	72
50	163
51	216
52	141
53	92
54	115
55	86
56	91
57	75
58	117
59	165
60	198
61	107
62	157
63	262
64	193
65	121
66	94
67	135
68	107
69	268
70	78
71	134
72	151
73	193
74	484
75	87
76	131
77	618
78	156
79	187
80	93
81	629
82	700
83	111
84	71
85	114
86	598
87	275
88	83
89	79
