topic	num_app
0	107
1	224
2	396
3	176
4	175
5	307
6	162
7	151
8	202
9	164
10	157
11	303
12	125
13	194
14	349
15	116
16	118
17	88
18	100
19	86
20	287
21	438
22	196
23	224
24	132
25	177
26	190
27	117
28	207
29	261
30	112
31	65
32	162
33	96
34	85
35	242
36	75
37	149
38	143
39	154
40	159
41	203
42	111
43	257
44	120
45	79
46	148
47	176
48	174
49	76
50	165
51	218
52	133
53	98
54	118
55	90
56	105
57	80
58	117
59	168
60	199
61	118
62	166
63	262
64	197
65	126
66	98
67	140
68	113
69	274
70	84
71	135
72	150
73	187
74	3967
75	89
76	145
77	3179
78	168
79	192
80	98
81	4072
82	4803
83	112
84	86
85	121
86	3217
87	279
88	87
89	88
